Reference;Qty;Value;Comment;Link
Q5;1;IRF4905PBF;"Transistor: P-MOSFET; unipolaire; -55V; -74A; 200W; TO220AB";https://www.tme.eu/fr/details/irf4905pbf/transistors-a-canal-p-tht/infineon-technologies/
R1,R2,R9,R19,R20;5;4.7KΩ;IdŽalement metal film 1% 0,25W. Si 1% pas disponible, 5% possible.;
R3,R4,R7,R13,R15;5;100Ω;IdŽalement metal film 1% 0,25W. Si 1% pas disponible, 5% possible.;
R5,R6,R8,R10,R12,R14,R16,R17,R18;9;10KΩ;IdŽalement metal film 1% 0,25W. Si 1% pas disponible, 5% possible.;
R11;1;100KΩ;IdŽalement metal film 1% 0,25W. Si 1% pas disponible, 5% possible.;
SW1;1;B3F-1000;;https://www.tme.eu/fr/details/b3f-1000/micro-interrupteurs-tact/omron-electronic-components/
U1;1;ADuM1250;;https://www.tme.eu/fr/details/adum1250arz/circuits-integres-autres-interfaces/analog-devices/
;1;Adaptateur SOP8 vers DIP8;;https://www.gotronic.fr/art-adaptateur-so8-dil8-19701.htm?srsltid=AfmBOorpRZBcGtFJ4XxI4pT9QEYy5kY7JQepgGV5MdY0PlJ4ZjzeJJ0E
U2;1;ESP32-DevKitC;;https://fr.aliexpress.com/item/1005009089721727.html?spm=a2g0o.order_list.order_list_main.106.7ec85e5b39HBjO&gatewayAdapt=glo2fra
U3;1;D24V10F3;;https://www.tme.eu/fr/details/pololu-2830/onduleurs/pololu/3-3v-1a-step-down-d24v10f3/
U4;1;OKI-78SR-5_1.5-W36-C;;
U5;1;TMA-0505S;;https://www.tme.eu/fr/details/tma0505s/convertisseurs-dc-dc/traco-power/tma-0505s/
U6;1;DS18B20+;;https://www.tme.eu/fr/details/ds18b20+/transmetteurs-de-temperature/analog-devices-maxim-integrated/
;1;Module Atlas EZO pH;;https://www.digikey.fr/fr/products/detail/atlas-scientific/EZO-PH/16003108?s=N4IgTCBcDaIIIBcA2BDAzgAgKIC0DyGADgBIgC6AvkA
;1;Module Atlas EZO ORP;;https://www.digikey.fr/fr/products/detail/atlas-scientific/EZO-ORP/16003169?s=N4IgTCBcDaIIIBcA2BDAzgAgKIC0DyGeASgAogC6AvkA
;1;Sonde pH connecteur BNC;;
;1;Sonde ORP connecteur BNC;;
;1;Module RTC DS3231;;https://fr.aliexpress.com/item/1005010435328928.html?spm=a2g0o.order_list.order_list_main.34.7ec85e5b39HBjO&gatewayAdapt=glo2fra
;0;module ADC ADS1115;;
;1;Finder 22.32.0.012.4340;Si contr™le filtration : Contacteur rail DIN 12V / 220V 25A;
;1;Finder 22.32.0.012.4340;Si contr™le Žclairage : Contacteur rail DIN 12V / 220V 25A;
;2;Pompe PŽristaltique 12V  90ml/min 12V-S10B avec tuyau en BPT PharMed (plus simple ˆ trouver que tuyau Norprene ou Santoprne);;https://fr.aliexpress.com/item/1005008568962671.html?spm=a2g0o.order_list.order_list_main.110.25855e5b3NTOSc&gatewayAdapt=glo2fra
;1;Si tuyau pompe pas en Pharmed : tuyau Pharmed ˆ la coupe;;https://fr.aliexpress.com/item/1005005939700189.html?spm=a2g0o.order_list.order_list_main.11.25855e5b3NTOSc&gatewayAdapt=glo2fra
;2;Raccord ou clapet anti-retour en PVDF vers tuyau injection 4x6. Taille 1/8'';;https://fr.aliexpress.com/item/32721015040.html?spm=a2g0o.order_list.order_list_main.5.25855e5b3NTOSc&gatewayAdapt=glo2fra
;2;Tuyau 4x6mm en PE pour raccorder tuyau pompe au bidon de produit;;https://eau2.fr/tube-pe-chlore-et-ph/597-49-tube-pe-4x6mm-chlore-ph-piscine-pompe.html#/30-bobine-1_ml_a_la_coupe
;1;Alimentation Rail DIN : Mean Well HDR-30-12 2A;;https://www.amazon.fr/dp/B071KXJPYB?ref=ppx_yo2ov_dt_b_fed_asin_title
;2;Clapet d'injection raccord 1/2'' Chlore ou pH;;https://eau2.fr/analyseur-pieces-detachees-astralpool/404-clapet-ou-canne-injection-chlore-microdos-11100088-injection-ph-8432611951310.html
;1;Collecteur piscine porte sonde diamtre 50;;https://jardiboutique.com/fr/regulateur-ph-rx/15015-collecteur-piscine-porte-sonde-transparent-diametre-50-jardiboutique-jb-so-1n500.html
;2;Filtre aspiration pompe doseuse;;https://eau2.fr/aspiration-du-chlore-liquide-et-ph-moins/733-crepine-aspiration-complete-4x6-100357-11100086-microdos-astralpool-8432611937871.html
